episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
329,360.0,363,190801,0.1,0.17191559403807252,988.0616644999973,True,False
330,880.0,558,191359,0.1,0.17996978355075816,991.764638749999,True,False
331,1710.0,918,192277,0.1,0.164986308283456,997.6423715829987,True,False
332,2330.0,887,193164,0.1,0.16165143459498346,1003.6951832079976,True,False
333,370.0,420,193584,0.1,0.14997310049477078,1007.162408958,True,False
334,1060.0,592,194176,0.1,0.1561917897968276,1011.9028977079979,True,False
335,780.0,537,194713,0.1,0.13724540941306015,1016.2860220829971,True,False
336,810.0,756,195469,0.1,0.15337769194412484,1022.7925816669995,True,False
337,390.0,488,195957,0.1,0.13621250736969906,1027.824736749997,True,False
338,280.0,445,196402,0.1,0.1320452832423889,1032.5836978329971,True,False
339,700.0,510,196912,0.1,0.12949687914806418,1038.3474709999973,True,False
340,670.0,797,197709,0.1,0.1422754345396206,1048.7374231249996,True,False
341,1220.0,751,198460,0.1,0.14784797857654222,1058.0114872919985,True,False
342,470.0,544,199004,0.1,0.14334218250587583,1065.3743964999994,True,False
343,380.0,405,199409,0.1,0.13676944212748274,1070.5486499170001,True,False
344,570.0,483,199892,0.1,0.1426999576943965,1076.040890417,True,False
345,1260.0,652,200544,0.1,0.1468870630202118,1085.5817282499993,True,False
346,1410.0,610,201154,0.1,0.1355959368918679,1089.8988680000002,True,False
347,320.0,348,201502,0.1,0.1497799480954806,1092.1939792079975,True,False
348,1020.0,838,202340,0.1,0.14430031783524014,1096.9992981249998,True,False
349,1420.0,837,203177,0.1,0.12315637001580598,1101.6710983329976,True,False
350,510.0,509,203686,0.1,0.1614611029155611,1104.4435155419997,True,False
351,340.0,375,204061,0.1,0.14693225662600487,1107.4513898330006,True,False
352,480.0,525,204586,0.1,0.127954030167738,1110.2701064579996,True,False
353,480.0,433,205019,0.1,0.1401348084349323,1112.5221473329984,True,False
354,450.0,484,205503,0.1,0.12733701875140843,1114.9457422499981,True,False
355,1180.0,876,206379,0.1,0.14273119295977021,1119.6364474170005,True,False
356,310.0,356,206735,0.1,0.12368126481436612,1122.2569818329976,True,False
357,1000.0,707,207442,0.1,0.11803474999164458,1128.0846839579972,True,False
358,800.0,800,208242,0.1,0.15864200288429856,1131.382757542,True,False
359,680.0,577,208819,0.1,0.15128562109182692,1134.1155461249982,True,False
360,800.0,722,209541,0.1,0.13194237875839623,1139.9538481669988,True,False
361,420.0,514,210055,0.1,0.1484600695548579,1142.2298272499975,True,False
362,1630.0,812,210867,0.1,0.1270967688998712,1145.9940634999984,True,False
363,490.0,596,211463,0.1,0.1178273064828159,1150.698389541998,True,False
364,550.0,479,211942,0.1,0.14152797777205706,1153.3543374580004,True,False
365,1590.0,951,212893,0.1,0.14743239698665483,1158.5490375419977,True,False
366,2010.0,1044,213937,0.1,0.14436776076097368,1162.8766555000002,True,False
367,280.0,333,214270,0.1,0.1480451453342495,1164.4666071249994,True,False
368,860.0,581,214851,0.1,0.149574746461264,1168.357051707997,True,False
369,3730.0,748,215599,0.1,0.15547253918599954,1174.2149827499998,True,False
370,400.0,486,216085,0.1,0.16451030081046408,1176.890932582999,True,False
371,370.0,536,216621,0.1,0.1475336852469551,1179.6718873749996,True,False
372,1000.0,628,217249,0.1,0.12853860885948892,1182.3411384169995,True,False
373,420.0,446,217695,0.1,0.14164476868537096,1184.2074349169998,True,False
374,520.0,577,218272,0.1,0.1615903899587434,1186.5019941669998,True,False
375,1070.0,838,219110,0.1,0.14838952790393214,1191.2853149580005,True,False
376,890.0,693,219803,0.1,0.15857452686036252,1194.9548047499993,True,False
377,440.0,495,220298,0.1,0.13767720040895284,1196.9414724999988,True,False
378,1330.0,854,221152,0.1,0.16617615475693595,1201.1389474579992,True,False
379,300.0,392,221544,0.1,0.14867480543955247,1202.7569465829984,True,False
380,400.0,485,222029,0.1,0.17338312372626843,1205.3178038749975,True,False
381,1310.0,872,222901,0.1,0.15592753729108003,1210.50489475,True,False
